id,name,price,details,imgURL
100,Kirkland Signature Unsalted Mixed Nuts,739,Kirkland Signature Unsalted Mixed Nuts 1.13kg,https://www.costco.com.tw/medias/sys_master/products/h61/hc2/8797743808542.jpg
101,North Sea Pink Salmon Fish Snacks,325,North Sea Pink Salmon Fish Snacks 600g,https://www.costco.com.tw/medias/sys_master/products/h55/h3c/9019603681310.jpg
102,Kirkland Signature Sunsweet Dried Plums,359,Kirkland Signature Sunsweet Dried Plums 1.58kg,https://www.costco.com.tw/medias/sys_master/products/h5f/h23/8797501390878.jpg
103,Kirkland Signature Roasted Seaweed,339,Kirkland Signature Roasted Seaweed 17g X 10 Count/Pack,https://www.costco.com.tw/medias/sys_master/products/he4/h65/8898307653662.jpg
104,SHJ Ultra Spicy Peanuts,369,SHJ Ultra Spicy Peanuts 100g X 8 Count/Pack,https://www.costco.com.tw/medias/sys_master/products/hbd/h86/8889434701854.jpg
105,Kirkland Signature Butter Flavor Microwave Popcorn,459,Kirkland Signature Butter Flavor Microwave Popcorn 93.5g X 44 Count/Pack,https://www.costco.com.tw/medias/sys_master/products/h9b/h35/8889460195358.jpg
106,Kirkland Signature Peanut Butter Filled Pretzel Nuggets,415,Kirkland Signature Peanut Butter Filled Pretzel Nuggets 1.47Kg,https://www.costco.com.tw/medias/sys_master/products/hf1/hbd/8797552771102.jpg
107,Kirkland Signature Whole Fancy Unsalted Cashews,799,Kirkland Signature Whole Fancy Unsalted Cashews 1.13kg,https://www.costco.com.tw/medias/sys_master/products/h54/h01/8797602840606.jpg
108,Kirkland Signature Dry Roasted Almonds,479,Kirkland Signature Dry Roasted Almonds 1.13Kg,https://www.costco.com.tw/medias/sys_master/products/h3a/hf6/8797618896926.jpg
109,Kirkland Signature Shelled Walnuts,499,Kirkland Signature Shelled Walnuts 1.36kg,https://www.costco.com.tw/medias/sys_master/products/h67/h82/9343878627358.jpg
110,Kirkland Signature Raw Pine Nuts,999,Kirkland Signature Raw Pine Nuts 680g,https://www.costco.com.tw/medias/sys_master/products/hae/h50/8847692431390.jpg
111,Kirkland Signature Almonds,479,Kirkland Signature Almonds 1.36kg,https://www.costco.com.tw/medias/sys_master/products/h4b/h7e/9334433153054.jpg
112,Kirkland Signature Sea Salt Potato Chips,229,Kirkland Signature Sea Salt Potato Chips 907g,https://www.costco.com.tw/medias/sys_master/products/ha2/h21/8797768351774.jpg
113,Kirkland Signature Mixed Nuts ,739,Kirkland Signature Mixed Nuts 1.13kg,https://www.costco.com.tw/medias/sys_master/products/h71/h82/8797773266974.jpg
114,Kirkland Signature Pecans,639,Kirkland Signature Pecans 908g,https://www.costco.com.tw/medias/sys_master/products/h24/hf1/8797775626270.jpg
115,Kirkland Signature Premium Cashews,799,Kirkland Signature Premium Cashews 1.13kg,https://www.costco.com.tw/medias/sys_master/products/h28/h8b/8797773922334.jpg
116,Market O Cheese Chips,269,Market O Cheese Chips 62g X 4 Count/Pack,https://www.costco.com.tw/medias/sys_master/products/hca/he6/9295458271262.jpg
117,Kowkun Beef Jerky (Original Flavor),589,Kowkun Beef Jerky (Original Flavor) 300g X 2 Count,https://www.costco.com.tw/medias/sys_master/products/ha8/h17/8885959426078.jpg
118,Kelsen Danish Butter Cookies Floral Design,285,Kelsen Danish Butter Cookies Floral Design 908g,https://www.costco.com.tw/medias/sys_master/products/h63/h8d/8807277690910.jpg
119,Kenji Saltine Cracker,239,Kenji Saltine Cracker 20g X 40 Count,https://www.costco.com.tw/medias/sys_master/products/hd1/h86/8870477037598.jpg
120,Kirkland Signature Chopped Onion,175,Kirkland Signature Chopped Onion 332g,https://www.costco.com.tw/medias/sys_master/products/h52/h8c/8799661785118.jpg
121,Kirkland Signature Mediterranean Sea Salt Grinder,149,Kirkland Signature Mediterranean Sea Salt Grinder 368.5g,https://www.costco.com.tw/medias/sys_master/products/h0b/h3e/8797419995166.jpg
122,Kirkland Signature Mediterranean Blend Oil,339,Kirkland Signature Mediterranean Blend Oil 3L,https://www.costco.com.tw/medias/sys_master/products/h3f/h4d/8797487628318.jpg
123,Kirkland Signature Ground Saigon Cinnamon,119,Kirkland Signature Ground Saigon Cinnamon 303g,https://www.costco.com.tw/medias/sys_master/products/hed/h81/8802711306270.jpg
124,Kirkland Signature Fine Grain Pure Sea Salt,119,Kirkland Signature Fine Grain Pure Sea Salt 850g,https://www.costco.com.tw/medias/sys_master/products/hbb/h28/8797522690078.jpg
125,Kirkland Signature California Granulated Garlic,225,Kirkland Signature California Granulated Garlic 510g,https://www.costco.com.tw/medias/sys_master/products/hec/h34/8799687147550.jpg
126,Kirkland Signature Himalayan Pink Salt Grinder,159,Kirkland Signature Himalayan Pink Salt Grinder 368.5g,https://www.costco.com.tw/medias/sys_master/products/ha6/hc1/8797588291614.jpg
127,Kirkland Signature Clover Honey Bear ,449,Kirkland Signature Clover Honey Bear 680g X 3 Count/Pack,https://www.costco.com.tw/medias/sys_master/products/h76/h69/8797570400286.jpg
128,Kirkland Signature Organic Cane Sugar ,355,Kirkland Signature Organic Cane Sugar 4.54Kg,https://www.costco.com.tw/medias/sys_master/products/hdb/h53/8803234119710.jpg
129,Kirkland Signature Maple Syrup ,449,Kirkland Signature Maple Syrup 1L,https://www.costco.com.tw/medias/sys_master/products/ha4/h62/8797645176862.jpg
130,Kirkland Signature Grapeseed Oil ,299,Kirkland Signature Grapeseed Oil 2L,https://www.costco.com.tw/medias/sys_master/products/h7e/hbf/9386540138526.jpg
131,Prego Traditional Pasta Sauce ,169,Prego Traditional Pasta Sauce 1.27kg,https://www.costco.com.tw/medias/sys_master/products/he6/h58/8797671718942.jpg
